,DATE,REGION,AGEGROUP,SEX,DEATHS
272,2020-03-30,Wallonia,75-84,F,10
273,2020-03-30,Wallonia,85+,M,13
274,2020-03-30,Wallonia,85+,F,17
275,2020-03-30,Flanders,0-24,F,1
276,2020-03-30,Flanders,45-64,F,2
277,2020-03-30,Flanders,65-74,M,3
278,2020-03-30,Flanders,65-74,F,2
279,2020-03-30,Flanders,75-84,M,18
280,2020-03-30,Flanders,75-84,F,12
281,2020-03-30,Flanders,85+,M,14
282,2020-03-30,Flanders,85+,F,28
283,2020-03-30,Brussels,45-64,M,1
284,2020-03-30,Brussels,45-64,F,1
285,2020-03-30,Brussels,65-74,M,2
286,2020-03-30,Brussels,65-74,F,2
287,2020-03-30,Brussels,75-84,M,5
288,2020-03-30,Brussels,75-84,F,5
289,2020-03-30,Brussels,85+,M,8
290,2020-03-30,Brussels,85+,F,6
291,2020-03-31,Wallonia,25-44,M,1
292,2020-03-31,Wallonia,45-64,M,2
293,2020-03-31,Wallonia,45-64,F,2
294,2020-03-31,Wallonia,65-74,M,4
295,2020-03-31,Wallonia,65-74,F,1
296,2020-03-31,Wallonia,75-84,M,9
297,2020-03-31,Wallonia,75-84,F,11
298,2020-03-31,Wallonia,85+,M,12
299,2020-03-31,Wallonia,85+,F,22
300,2020-03-31,Flanders,45-64,M,4
301,2020-03-31,Flanders,65-74,M,8
302,2020-03-31,Flanders,65-74,F,5
303,2020-03-31,Flanders,75-84,M,19
304,2020-03-31,Flanders,75-84,F,16
305,2020-03-31,Flanders,85+,M,15
306,2020-03-31,Flanders,85+,F,33
307,2020-03-31,Flanders,NA,M,1
308,2020-03-31,Brussels,45-64,M,4
309,2020-03-31,Brussels,45-64,F,2
310,2020-03-31,Brussels,65-74,M,3
311,2020-03-31,Brussels,65-74,F,2
312,2020-03-31,Brussels,75-84,M,8
313,2020-03-31,Brussels,75-84,F,3
314,2020-03-31,Brussels,85+,M,6
315,2020-03-31,Brussels,85+,F,8
316,2020-04-01,Wallonia,45-64,M,5
317,2020-04-01,Wallonia,45-64,F,1
318,2020-04-01,Wallonia,65-74,M,6
319,2020-04-01,Wallonia,65-74,F,5
320,2020-04-01,Wallonia,75-84,M,10
321,2020-04-01,Wallonia,75-84,F,16
322,2020-04-01,Wallonia,85+,M,19
323,2020-04-01,Wallonia,85+,F,21
324,2020-04-01,Flanders,25-44,M,1
325,2020-04-01,Flanders,45-64,M,4
326,2020-04-01,Flanders,45-64,F,2
327,2020-04-01,Flanders,65-74,M,6
328,2020-04-01,Flanders,65-74,F,3
329,2020-04-01,Flanders,75-84,M,27
330,2020-04-01,Flanders,75-84,F,15
331,2020-04-01,Flanders,85+,M,37
332,2020-04-01,Flanders,85+,F,31
333,2020-04-01,Brussels,45-64,F,2
334,2020-04-01,Brussels,65-74,M,4
335,2020-04-01,Brussels,65-74,F,2
336,2020-04-01,Brussels,75-84,M,4
337,2020-04-01,Brussels,75-84,F,4
338,2020-04-01,Brussels,85+,M,6
339,2020-04-01,Brussels,85+,F,10
340,2020-04-02,Wallonia,45-64,M,3
341,2020-04-02,Wallonia,45-64,F,3
342,2020-04-02,Wallonia,65-74,M,11
343,2020-04-02,Wallonia,65-74,F,9
344,2020-04-02,Wallonia,75-84,M,7
345,2020-04-02,Wallonia,75-84,F,13
346,2020-04-02,Wallonia,85+,M,15
347,2020-04-02,Wallonia,85+,F,11
348,2020-04-02,Flanders,45-64,M,2
349,2020-04-02,Flanders,45-64,F,2
350,2020-04-02,Flanders,65-74,M,11
351,2020-04-02,Flanders,65-74,F,3
352,2020-04-02,Flanders,75-84,M,16
353,2020-04-02,Flanders,75-84,F,9
354,2020-04-02,Flanders,85+,M,26
355,2020-04-02,Flanders,85+,F,34
356,2020-04-02,Brussels,45-64,M,2
357,2020-04-02,Brussels,45-64,F,2
358,2020-04-02,Brussels,65-74,M,1
359,2020-04-02,Brussels,65-74,F,2
360,2020-04-02,Brussels,75-84,M,7
361,2020-04-02,Brussels,75-84,F,10
362,2020-04-02,Brussels,85+,M,8
363,2020-04-02,Brussels,85+,F,7
364,2020-04-03,Wallonia,45-64,M,6
